*******************************************************************************
Ephemeris / WWW_USER Tue Feb 19 21:46:06 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Earth (399)                     {source: NH_merged}
Center-site name: Green Bank (GBT)
*******************************************************************************
Start time      : A.D. 2019-Feb-20 19:15:00.0000 UT      
Stop  time      : A.D. 2019-Feb-21 07:15:00.0000 UT      
Step-size       : 1 minutes
*******************************************************************************
Target pole/equ : No model available
Target radii    : (unavailable)                                                
Center geodetic : 280.160200,38.4330940,0.8760930 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 280.160200,5003.37558,3943.7589 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Pluto
Vis. interferer : MOON (R_eq= 1737.400) km        {source: NH_merged}
Rel. light bend : Sun, EARTH                      {source: NH_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
RTS-only print  : NO       
EOP file        : eop.190218.p190512                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-FEB-18. PREDICTS-> 2019-MAY-11
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC dRA*cosD d(DEC)/dt            delta      deldot    S-O-T /r    S-T-O
*******************************************************************************************************************
$$SOE
 2019-Feb-20 20:47 *   19 13 17.37 -20 25 53.5 2.559798  0.424449 44.3846731526464  -6.4766170  44.5490 /L   0.9060
 2019-Feb-20 20:48 *   19 13 17.38 -20 25 53.5 2.559948  0.424442 44.3846705550859  -6.4769731  44.5497 /L   0.9060
 2019-Feb-20 20:49 *   19 13 17.38 -20 25 53.5 2.560098  0.424435 44.3846679573813  -6.4773357  44.5504 /L   0.9060
 2019-Feb-20 20:50 *   19 13 17.38 -20 25 53.5 2.560249  0.424428 44.3846653595299  -6.4777048  44.5511 /L   0.9060
 2019-Feb-20 20:51 *   19 13 17.38 -20 25 53.5 2.560399  0.424421 44.3846627615292  -6.4780805  44.5517 /L   0.9060
 2019-Feb-20 20:52 *   19 13 17.39 -20 25 53.5 2.560548  0.424413 44.3846601633765  -6.4784626  44.5524 /L   0.9060
 2019-Feb-20 20:53 *   19 13 17.39 -20 25 53.5 2.560698  0.424405 44.3846575650693  -6.4788513  44.5531 /L   0.9060
 2019-Feb-20 20:54 *   19 13 17.39 -20 25 53.5 2.560848  0.424396 44.3846549666049  -6.4792465  44.5538 /L   0.9060
 2019-Feb-20 20:55 *   19 13 17.40 -20 25 53.4 2.560998  0.424388 44.3846523679806  -6.4796482  44.5545 /L   0.9060
 2019-Feb-20 20:56 *   19 13 17.40 -20 25 53.4 2.561147  0.424379 44.3846497691940  -6.4800564  44.5552 /L   0.9060
 2019-Feb-20 20:57 *   19 13 17.40 -20 25 53.4 2.561297  0.424370 44.3846471702423  -6.4804712  44.5558 /L   0.9061
 2019-Feb-20 20:58 *   19 13 17.41 -20 25 53.4 2.561446  0.424361 44.3846445711230  -6.4808924  44.5565 /L   0.9061
 2019-Feb-20 20:59 *   19 13 17.41 -20 25 53.4 2.561596  0.424351 44.3846419718335  -6.4813201  44.5572 /L   0.9061
 2019-Feb-20 21:00 *   19 13 17.41 -20 25 53.4 2.561745  0.424341 44.3846393723711  -6.4817543  44.5579 /L   0.9061
 2019-Feb-20 21:01 *   19 13 17.41 -20 25 53.4 2.561894  0.424331 44.3846367727333  -6.4821950  44.5586 /L   0.9061
 2019-Feb-20 21:02 *   19 13 17.42 -20 25 53.4 2.562043  0.424320 44.3846341729174  -6.4826422  44.5593 /L   0.9061
 2019-Feb-20 21:03 *   19 13 17.42 -20 25 53.4 2.562192  0.424310 44.3846315729209  -6.4830959  44.5599 /L   0.9061
 2019-Feb-20 21:04 *   19 13 17.42 -20 25 53.4 2.562341  0.424299 44.3846289727411  -6.4835561  44.5606 /L   0.9061
 2019-Feb-20 21:05 *   19 13 17.43 -20 25 53.4 2.562490  0.424287 44.3846263723755  -6.4840228  44.5613 /L   0.9061
 2019-Feb-20 21:06 *   19 13 17.43 -20 25 53.4 2.562638  0.424276 44.3846237718214  -6.4844959  44.5620 /L   0.9062
 2019-Feb-20 21:07 *   19 13 17.43 -20 25 53.4 2.562787  0.424264 44.3846211710762  -6.4849755  44.5627 /L   0.9062
 2019-Feb-20 21:08 *   19 13 17.44 -20 25 53.4 2.562935  0.424252 44.3846185701375  -6.4854615  44.5633 /L   0.9062
 2019-Feb-20 21:09 *   19 13 17.44 -20 25 53.3 2.563084  0.424239 44.3846159690024  -6.4859540  44.5640 /L   0.9062
 2019-Feb-20 21:10 *   19 13 17.44 -20 25 53.3 2.563232  0.424227 44.3846133676686  -6.4864530  44.5647 /L   0.9062
 2019-Feb-20 21:11 *   19 13 17.44 -20 25 53.3 2.563380  0.424214 44.3846107661334  -6.4869585  44.5654 /L   0.9062
